cellName	geneSymbol
Mammary epithelial cells	Mammary epithelial cells	Csn2,Btn1a1,Btn2a2,Mmp14,Tox3,Ffar1,Pygo2,Serpinb5,Irf6,Kdm3a,Slc30a2,Padi2,Csn3,Csn1s1,Rarres1,Piezo1,Ano1,Wnt5b,Nedd9,Foxp4,Lsr,Lif
Mast cells	Mast cells	Enpp3,Il2ra,Il17a,Cd274,Cxcr2,Ccr3,Mgst2,Cpa3,Cma1,Hnmt,Tpsab1,Cfp,Rab27b,Sla,Il1rl1,Gnai1,Osbpl8,Tmigd3,Hs3st1,Dapp1,Csrnp1,Plek,Hdc,Tph1,Rgs13,Btk,Il4,Ms4a2,AW551984,Milr1,Hs6st2,Mrgpra6,Plau,Adamts9,Cobl,Ctsg,Grik2,Hs3st3a1,Papss2,Pcbd1,Rnf128,Slc29a1,Slc45a3,Stard13,A4galt,Acer3,Armcx3,Bbs10,Bmpr2,C2,Ccdc141,Cdc42bpa,Cdh9,Copz2,Zdhhc13,Wdr60,Unc13b,Trank1,Tiam2,Stk32b,St6galnac3,Socs2,Spred1,Slc31a2,Sgce,Ror1,Rnf180,Rbfox1,Pde1c,Pcdh7,Optn,Oaf,Ndst2,Mlph,Mfge8,Lsamp,Lima1,Krt4,Kdelr3,Hspa13,Hs2st1,Gp1ba,Gnaz,Ext1,Esyt3,Eno2,Enah,Dusp1,Dgki,Dclk3
Megakaryocytes	Megakaryocytes	Lat,Gp5,Cxcr1,Pde6b,Matk,Kif5b,Gata1,Tspan9,Treml1,Alox12,Selp,Cib1,Plk3,Mafg,Tgfb1,Gp9
Melanocytes	Melanocytes	Mc1r,Pmel,Slc45a2,Tyr,Tyrp1,Dct,Filip1l,Loxl2,Zc3h7a,Slk,Ahnak2,Hspb1,Pax3,Trpm1,Ctns,Enpp1,Bnc2,Men1,Rab38,Crabp1,Ptn,Klc2,Il24,Tph2,Prkca
Meningeal cells	Meningeal cells	Foxc1,Bmp7,Aldh1a2,Alx4,Vtn,Igfbp2,Slc47a1
Merkel cells	Merkel cells	Vil1,Piezo2,Id2,Pou4f3
Mesangial cells	Mesangial cells	Pdgfrb,Tns1,Sfrp2,Ecm1,Angpt2,Fgf1,Ogt,Noct,Ncoa2,Pla2r1,Trip4,Amotl2,Lats2,Yap1,Mib1,Adamtsl4,Itga8,Dyrk1a,Arid5b,Fn1,Pawr,Serpine2,Actn1,Akap12,Rock1,Sh3bgrl,Rasd1,Sncg,Flna,Mef2c,Cstb,Smarca5,Map3k20
Mesothelial cells	Mesothelial cells	Gm5414,Has2,Me2,Lrrn4,Il17re,Kcnab1,Pkhd1l1,Cobll1,St3gal1,Fbxo33,Rasl11a,Pcsk6,Gbp2b,Twsg1,Adgrd1,Crls1,Flnc,Fmo2,Efemp1,Fras1,Rspo1
Microfold cells	Microfold cells	Pglyrp1,Anxa5,Sox8,Mier3,Nfic,Gm49369,Ccl20,Marcksl1,Rac2,Fabp5,Cyba,Tmprss2,Mtf1,Tulp4,Irf2,Nfib
Microglia	Microglia	P2ry12,Tmem119,Csf3r,Tcirg1,Susd3,Gpr183,Vav1,Slc2a5,Ptafr,Lag3,Entpd1,Tmem173,Tbxas1,P2ry13,Myo1f,Itgb5,Sphk1,Colec12,Aebp1,Ptgs1,Apbb1ip,Cyfip1,Mertk,Bin2,Cmtm6,Ccl4,Ccrl2,Clec3b,Mrc2,Cd53,Fos,Ski
Monocytes	Monocytes	Dysf,Mefv,Padi4,Tnfrsf14,Mgmt,Sell,Acp5,Mx1,Il1rn,Ido1,Zfp36l2,Lta4h,Clec12a,Prtn3,Psap,Rhoc,Nfkbiz,Ly6e,Lyn,Rgs2,Spi1,Tymp,Pycard,Lyst
Motor neurons	Motor neurons	Mnx1,Isl2,Evx2,Sim1
Müller cells	Müller cells	Cnr2,Rdh10,Slitrk2,Crot,Crym,Dapl1,Col4a2,Col5a1,Clu,S100a16,Dbi,Gnai2,Gpr37,Kcnj2,Kcnj10,Spc25,Itm2b,Atg4b,Zbed4,Prdx6,Crb1
Myoblasts	Myoblasts	Myog,Cdh15,Capn1,Myf5,Myod1,Musk,Stk40,Tnfrsf12a,Myd88,Braf,Six1,Pdzrn3
Myocytes	Myocytes	Tnni2,Tnnt1,Tnnt3,Tnnc2,Actn3,Ankrd2,Capza3,Clock,Itga7,Lama2,Ldb1,Ldb3,Mstn,Myh1,Myh8,Nbr1,Neb,Nid1,Nid2,Tmod4,Six4,Cav3,Dll1,Dock1,Dock5,Iqsec1,Itga3,Myh14,Nphs1,Prkcq,Ptgir,Ptk2,Pxn,Trio,Washc1,Wipf1,Edn1,Mef2a,Mef2b,Mef2d,Popdc2,Mylpf,Myl1,Myoz1,Thbs4
Myoepithelial cells	Myoepithelial cells	Cd109,Cdh3,Actg2,Mdfi,Grwd1,Smim3
Myofibroblasts	Myofibroblasts	Cdh11,Palld
Natural killer T cells	Natural killer T cells	Il12rb2,Il17ra,Il12rb1,Klrb1f,Itgb2,Map3k8,Tnfrsf8,Il2rb,Tbx21,Ncam1,Styk1,Tcf7
Neural stem/precursor cells	Neural stem/precursor cells	Sox1,Igf1r,Sp8,Rbm3,Sox3,Neurod4,Neurog1,Nhlh1,Ppp1r17,Tmtc4,Plekhh2,Parp12,Inafm2,Isg15,Ifi44,Mgat5,Pbk,Cbx3,Sp9,Lhx9,Dbx1,Dll3,Otx1,Hes5,Prss56,Id4,Dcx,Ccnd2,S100a6
Neuroblasts	Neuroblasts	Tshz1,Sall3,Draxin,Erbb4,Trim32,Igfbpl1,Phf1,Mapk7,Prokr2,Pou6f2,Efna2,Cckar,Grm5,Ezh2,Mark2,Lrp8,Dab1,Ncan,Epha4,Tacc3,Tubb3,Sirt1,Pros1
Neuroendocrine cells	Neuroendocrine cells	Clasp2,Fxyd7,Dpf1,Penk,Sfxn5,Ccdc85c,Atxn1,Gpr88,Pde10a,Abhd2,Spock1,Negr1,Dusp26,Arhgdig,Prss12,Serpini1
Neurons	Neurons	Epo,Csf3,Nefh,Dlg4,Gabra1,Cxcr5,Aim2,Matn2,Slc36a4,Prph,Mecp2,Rin1,Omp,Ptpn11,Cbarp,B3gat2,Fbln2,Shisa2,Fam181b,Ctxn2,Clstn3,Hdac11,Slc30a9,Copg1,Fbxw7,Nmt1,Arid4a,Tmem91,Cdk5,Safb,Rnf220,Rasgrf1,Tmem179,Nicn1,Napg,Cmip,Zmynd11,Rhbdd2,St8sia3,Pqbp1,Tro,Syt5,Flywch1,Rit2,Pnck,Tmem59l,Gprasp2,Map7d2,Rb1cc1,Gria3,Sfswap,Scn1a,Rnpc3,Rere,Trip11,Kmt2c,Safb2,Sacs,Cspp1,Chd6,Zcchc7,Gpatch8,Ppp1r14c,Ccdc28b,Kcnk1,Gpr162,Tmem191c,Slc6a17,Dner,Ppp1r9a,Atp6v1h,Hpca,Cpne6,Rims3,Ogfod1,Celf6,Prmt2,Avp,Necab2,Cacnb3,Nwd2,Tescl,Necab3,Dgkb,Cttnbp2,Pcp4,Bex2,Ndn,Camk2n1,Pnisr,Stmn2,Ptk2b,Gng2,Vsnl1,Cacna2d1,Sgip1,Atp6v0a1,Myo5a,Prune2,Elavl3
Neutrophils	Neutrophils	AY761185,Elane,Hp,Mmp8,Lrg1,Asprv1,Ccr1,Ncf1,Sorl1,Arg2,Il1r2,Cd177,Oas3,Camp,Adpgk,Pstpip1,Dock8,Nlrp3
NK cells	NK cells	Cd244a,Klrk1,Ncr1,Gzmm,Hmbox1,Cd3g,Pcdh15,Dusp2,Txk,Dok2,Samd3,Chsy1,Il18r1,Dock2,Sh2d2a,Gzmk,Ifng,Csf2,Il2rg,Kir3dl1,Klrg1,Adamts14,Itga2,Clec2g
Noradrenergic neurons	Noradrenergic neurons	Slc6a2,Slc39a11,Slc9b2
Nuocytes	Nuocytes	Icos,Il17rb,Il7r,Crlf2,Bcl11b,Il5,Il13
Olfactory epithelial cells	Olfactory epithelial cells	Ano2,Rarg,Lrrc45,Kcnc4,Manea,Pacrg,Gadl1,Tstd1,Ttc21a,Kcna5,Acsm4,Dusp8,Ttll3,Abhd3,Kif9,Endod1,Ttc9,Retreg1,Wdfy1,Casp6,Traf3ip1,Lman2l,Ift74,B9d1,Wdr54,Tollip,Ormdl3,Dnajb14,Scn4b,Mapk15,Cnga4,Eml2,Riiad1,Ccdc184,Macrod1,Cers5,Rnf121,Borcs7,Elmod3,Klhl5,Gm13698,Trim66,Carns1,Tmem107,Cnppd1,Ngrn,Oscp1,Ric8b,Siah2,Cbx4,Cyb561,Nxnl2,Ttc5,Lrriq1,Arl6,Spef2,Mapkap1,Fam131c,Sh3glb2,Fam92b,Pkib,Fetub,Dusp14,Gramd1c,Rtp2,Golga7b,Cfap126,Ift43,Clgn,Efcab10,Mycbp,Rd3,Scn9a,Abhd16a,Impdh1,Ctxn3,S100a5,Faim,Them6,Cnga2,Cntn4,Efna3,Rtp1,Ak1,Flrt1,Jakmip1,Gng13,Acbd7,Fstl5,Gnal,Gfy,Atf5,Stom,Stoml3
Oligodendrocyte progenitor cells	Oligodendrocyte progenitor cells	Cspg4,Olig2,Matn4,C1ql1,Gpr17,Epn2,Lhfpl3,Neu4,Lad1,Slc25a47,Etv5,Cspg5,Olig1,Tnr,Fyn,Cnp
Pericytes	Pericytes	Myo1b,Cog7,Heyl,Gnb4,Msx1
Peritubular myoid cells	Peritubular myoid cells	Lamc3,Mylip,Tmem98,Kcnmb1,Gstm5,Cilp,Ephx1,Osr2,Col15a1,Wnt2b
Photoreceptor cells	Photoreceptor cells	Rcvrn,Pdc,Nrl,Nr2e3,Sag,Rho,Rom1,Crx,Pde6g,Tpbg,Frmd3,Rd3l,Rnf152,Sebox,Nlk,Stx3,Grm6,Strip2,Vstm2b,Cacna2d4,Trnp1,Otx2,Cacna2d3,Lin7a,Gpr179,Cabp5,Lrtm1,Qpct,Cplx3,B3galt2,Pcp2
Pinealocytes	Pinealocytes	Asmt,Gngt1,Cngb1,Cnga1,Pde6c,Slc6a6,Adra1b,Drd4,Chrna3,Chrnb4,Cacna1f,Pmepa1
Plasma cells	Plasma cells	Irf4,Prdm1,Pias1,Htra2,Cd37,Ccr10,Abcb9,Ampd1,Angpt4,Gng7,Gpr25,Hist1h2ae,Ighe,Kcna3,Kcng2,Lime1,Mast1,Mroh7,Pdk1,Sik1,Spag4,St6galnac4,Tgm5,Tmem156,Zbp1,Ssr4,Il16,Ppib
Plasmacytoid dendritic cells	Plasmacytoid dendritic cells	Cd4,Tradd,Arhgap9,Lamp5,Map3k2,Tnfsf13b,Ptcra,Tlr7,Mctp2,Grm8,Card6,Itm2c,Zfat,Nrp1,Slc15a4,Ccr9,Bst2
Platelets	Platelets	Cd226,Tnfsf14,Lrrc32,Ltbr,Abcc4,Fermt3,Tubb1,Ppbp,F5,Prkar2b,Stx11,Mfsd2b,Selplg,F11r,Scarb1,Adam10,Ccr4,F2r,Ost4,Gp1bb,Gpx1,Ppdpf,Grap2,Ctsa,Arhgdib,Cdkn2d,Pdlim1,Agpat1,Smox,Sh3bgrl2,Aldh2,Alox5ap,Rap1b,Laptm5,Rasgrp2,Arhgap10,Treml2,Ilk,Nod2,Mapk14,Abca3,Prex1,Atp8a1,F7,Slc17a9,Sirt3,Cyp2u1,Tlr1,Tlr6,Bglap2,Lgals8,Cd40lg
Pluripotent stem cells	Pluripotent stem cells	Prmt8,Ncoa5,Prdm14,Fgf4,Msh2,Terf1,Nap1l1,Hk2,Esrp1
Podocytes	Podocytes	Nphs2,Lama3,Myoc,Cdh13,Sema3g,Enpep,Clic5,Rhpn1,Bcam,Magi2,Efnb1,Plod2,Npr3,Pard3b,Myo1e,Sh2d4a,Tdrd5,Iqgap2,Fat1,Foxd1,Trib2,Col4a5,Hspb8,Kank1,Crb2,Lrrc49,Coro2b,Arhgap24,Gprc5a,Epb41l5,Ajuba,Cd2ap,Golim4,Zbtb8a,Tob1,Wsb2,Emc2,Ehd4,Zfp91,Etf1,Emc7,Mapt
Principal cells	Principal cells	Scnn1g,Fxyd4,Npnt,Scnn1b,Kcne1,Tmem45b,Tmem229a,Gprc5b,Phactr1,Celsr2,Fzd7,Slc2a9,Rnf186,Trpv5,Peli2,Acer2,Tspan1,Nr3c2
Proximal tubule cells	Proximal tubule cells	Slc6a18,Slc6a19,Slc5a2,Lrp2,Pdzk1,Miox,Slc34a1,Khk,Glyat,Fbp1,Slc22a6,Slc22a12,Slc17a1,Slc13a3,Slc22a8,Folr1,Slc7a13,Ak4,Slc5a8,Slc22a1,Upb1,Slc17a3,Gcdh,Gstz1,Fah,Tmem106a,Cryl1,Slc5a12,Aoah,Slc13a1,Abcc2,Pkhd1,Scin,Slc22a13b,Slc22a7,Slc16a9,Agxt2,Nme4,Hgd,Osgin1,Serpinf2,Haao,Ppic,Slc23a3,Cacng5,Tgfbi
Pulmonary alveolar type I cells	Pulmonary alveolar type I cells	Mmp11,Sema3b,Rtkn2,Akap5,Emp2,Pxdc1,Crlf1,Egfl6,Fstl3,Mex3b,Radil
Pulmonary alveolar type II cells	Pulmonary alveolar type II cells	Sfta2,Slc34a2,Sftpb,Soat1,Lpcat1,S100g,Ctnnd1,Ddx3y
Purkinje neurons	Purkinje neurons	Hdac6,Prkg1,Atp2b2,Pde5a,Itpr3,Pde1b,Pde9a,Cbln1,Mrps35,Shank2,Cerk,Pkp4,Adgrb1,Hcn1,Slc24a2,Slc24a3,Cnpy1,Gpsm1,Ppm1e,Grid2
Pyramidal cells	Pyramidal cells	Spink8,Ywhaz,Map2,Rtn4,Pde2a,Kcnb1,Kcnq2,Kcnq3,Satb2,Oxtr,Kcnd2,Kcnd3
Radial glia cells	Radial glia cells	Pdgfd,Spry1
Red pulp macrophages	Red pulp macrophages	Hmox1,Siglec1
Reticulocytes	Reticulocytes	Ruvbl1,Ucp3,Ube2o
Retinal ganglion cells	Retinal ganglion cells	Pou4f2,Atf6b,Snx16,Irx5,Ydjc,Dpp10,Shd,Smim18,Galnt14,Chrnb3,Them4,Scaper,Galntl6,Nkain3,Lhfpl5,Srrm3,Galnt9,Mtus2,Iglon5,Dctn1,Btbd10,Stoml1,Nell1,Rtn2,Evc2,Syt16,Ttll1,Gphn,Ablim3,Grip1,Tox2,Narf,Dtx1,Mab21l2,Kctd8,Cpne4,Klhdc8a,Irx6,Csdc2,Akap7,Rbpms,Pou4f1,Rbpms2,Cdk14
Satellite cells	Satellite cells	Erbb2,Foxk1,Calcr,Asb5,Srxn1,Bdkrb1,Barx2,Vamp2,Peg3,Scrib,Nfatc2,Hoxc10
Satellite glial cells	Satellite glial cells	Bdkrb2,Tgfa,Mapk1,Jak2,Sstr1,Cnga3
Schwann cells	Schwann cells	Mag,Tst,Ndrg1,Cthrc1,Nf2,Prx,Bcas1,Aspa,Bag3,Rxrg,Egfl8,Scn7a,Apod,Cryab,Plp1,Pmp22,Cadm4,Kcna1
T regulatory cells	T regulatory cells	Tnfrsf4,Ctla4,Izumo1r,Tnfrsf18,Il10,Itgb8
Tanycytes	Tanycytes	Gpr50,Col23a1,Lhx2,Col25a1
Taste receptor cells	Taste receptor cells	Tas1r1,Tas1r2,Tas1r3,Kcnh2,Gnat3,Trpm5,Nr3c1,Pkd2l1,Mcoln3,Trpm8,Grm4
Thymocytes	Thymocytes	Tagap1,Bcl6,Ezr
Transient cells	Transient cells	Col18a1,Slc43a2,Tmem117,St14,Enpp5,Gclc,Itgav,Tmem50b,Aco2,Smpd1,Ogdh,Cdc42bpb,Pip4k2c
Trichocytes	Trichocytes	Dsg2,Dsg4,Hoxc13
Trigeminal neurons	Trigeminal neurons	Crebrf,Prkx,Prdm12,Dhcr24,Calca,Calcb,Ppp1r1c,Avil,Pirt,Rufy2,Fam189b,Zdhhc2,Phf24,Kcnab2,Atl1,Fkbp1b,Tln2,Gdap1,Dgkz,Dgkh,Cpne3,Ccdc92,Add2,Vamp1,Scn10a
Trophoblast cells	Trophoblast cells	Ttpa,Cyp24a1,Elf5,Ackr2,Dlx3,Gcm1,Phlda2,Tfeb,Parp1
Trophoblast progenitor cells	Trophoblast progenitor cells	Isg20,Foxo4
Tuft cells	Tuft cells	Sucnr1,Fabp1,Pou2f3,Cdhr2,Espn,Dclk1,Camk2b,Il25,Plcb2,Asic5,Klf3,Drd3,Nrep,Ffar3,Alox5,Tslp
Undefined placental cells	Undefined placental cells	Dio3,Dusp9,Las1l,Ldoc1,Mbnl3,Prss8,Sct
Urothelial cells	Urothelial cells	Nat1,Upk1b,Umodl1,Slc14a1,Upk3a,Upk1a,Upk2,Upk3b
