cellName	geneSymbol
Beta cells	Beta cells	Gcgr,Jph3,Hamp2,Ezh1,Ntrk1,Pdx1,Slc2a2,Nkx6-2,Fxyd2,Npy,Rims1,Mafa,Efna5,Lmx1a,Pax4,Iapp,G6pc2,Gjd2,Igf2,Syt13,Nptx2,Gm29427,Edaradd,Adcyap1,Casr,Isl1,Tgfbr3,Six3,Six2,Bmp5,Pir,Stxbp5,Dlk1,Rgs16
Cajal-Retzius cells	Cajal-Retzius cells	Reln,Diablo,St3gal5,Isoc1,Smoc2,Dync1i1,Nhlh2,Clstn2,Tmem163,Cacna2d2,Cib2,Ndnf,Lingo1,Lnpk,Rnf138rt1,Tmem170b,Abcc5,Cnrip1,Ebf3,Fut9,Pabpn1,Gnl3l,Nudt2,Nsmce3,Dach1,Homer2,Map9,Dnm3,Lztfl1,Fsd1,Tceal1,Rab11fip2,Barhl2,Trim44,Slc17a6,B3galt1,Slitrk5,Erc2,Nbea,Slc25a36,Zdbf2,Mapk8,Gdf5,Ache,Ccm2,Wrap73,Nrg1,Atp13a2,Cntnap2,Pnoc,Lhx1,Lingo2,Fat3,Srgap3,Cdh4,Flrt3,Edil3,Zcchc12,Smad9,Tbr1,Kcnh7,Lhx5,Calb2,Emx2,Zic2,Wnt7b,Aatf,Nanos1,Tbck,Rgmb,Dact1,Eomes,Cnr1
Cardiac stem and precursor cells	Cardiac stem and precursor cells	Myh6,Tbx18,Fut4,Nkx2-5,Gata4,Etv2,Kit,Abcg3,Mesp1,Bmp4,Adgrl2,Tbx3,Tbx4,Wnt5a,Ankrd1
Cardiomyocytes	Cardiomyocytes	Tnnc1,Adm,Nppa,Fgf2,Nppb,Tnni3,Tnnt2,Nppc,Des,Hand2,Hand1,Gata6,Myl2,Acta1,Rbm20,Vldlr,Alpk3,Rbm24,Ckmt2,Speg,Myh7b,Myom2,Myom1,Pdlim5,Myh7,Pln,Tcap,Sorbs2,Ryr2,Obscn,Actc1,Myl3,Coro6,Pde4d,Nexn,Fhl2,Mybpc3,Ttn,Gpihbp1,Dmd,Mfn2,Asb2,Art3,Rrad,Adprhl1,Jph2,Pygm,Hspb7,Myoz2,Eno3,Trdn,Actn2,Tnni1,Smpx,Myl7,Tbx20,Trim63,Mb,Myl4,Ctnnb1,Cpt1a,Sox18,Notch1,Csrp3,Txlnb,Atp2a2,Ckm,Ckb,Mitf,Zfpm2,Bdnf,Gja5,Fmod,Mttp,Slc5a1,Trpv1,Sgpl1,Hmgb2,Stc1,Fgf23,Strn,Hey2,Adipor1,Adipor2,Pde1a,Casq2,Tpm3
Cholangiocytes	Cholangiocytes	Sstr2,Slc4a2,Sctr,Krt7,Kcnn2,Itgb4,Ggt6,Cftr,Cckbr,Ggt1,Jag1,Gpbar1,Ggt7,Krt19,Onecut2,Alpl,Hnf1b,Alb,Tff3,Tff1,Epcam,Cldn13,Mmp7,Tacstd2,Elf3,Spp1,Lgals4
Cholinergic neurons	Cholinergic neurons	Chat,Slc18a3,Slc5a7,Tac1,Brca1,Acly
Chondrocytes	Chondrocytes	Prg4,Tnc,Crtac1,Creb3l2,Runx2,Acan,Col2a1,Comp,Matn3,Runx3,Sox6,Bmp2,Fgf18,Gli3,Pbx3,Pthlh,Stat1,Mmp13,Vegfa,Matn1,Col9a1,Gm21983,Sdc3,Emp1,Col6a1,Cytl1,Lum,Gadd45b,Scrg1,Hapln1,Col11a1,S100a9,Chad,Chodl,Atf4,Mgp,Tcf4,Vdr,Atrx,Ager,Il10ra
Choroid plexus cells	Choroid plexus cells	Kl,Sostdc1,Clic6,Slc4a10,Htr2c,Slc4a5,Slc31a1,Cldn2,Slc13a4,Slc29a4,Gm21973,Cldn1,Slc2a12,Wfikkn2,Slc23a2,Slc26a11,Chmp1a
Chromaffin cells	Chromaffin cells	Slc26a4,Agrp,Snap25,Snapin,Rapgef2,Serpine1,Cacna1d,Pik3c2a,Ncs1,Pld1,Pld2,Doc2b,Unc13a,Slc18a1,Stx1a,Slc12a2,Plat
Ciliated cells	Ciliated cells	Ccdc153,Fam161a,Tmem212,Ccdc181,Foxj1,Ccdc17,Ccdc39,Odf3b,Cyp2s1,Lrrc23,Scgb1a1,Tubb4b
