cellName	geneSymbol
Beta cells	Beta cells	GCGR,JPH3,HAMP,EZH1,NTRK1,PDX1,SLC2A2,NKX6-2,FXYD2,NPY,INS,RIMS1,MAFA,EFNA5,LMX1A,PAX4,IAPP,G6PC2,GJD2,IGF2,SYT13,NPTX2,PFKFB2,EDARADD,ADCYAP1,CASR,ISL1,TGFBR3,SMAD9,SIX3,SIX2,BMP5,PIR,STXBP5,DLK1,MEG3,RGS16
Cajal-Retzius cells	Cajal-Retzius cells	RELN,DIABLO,ST3GAL5,ISOC1,SMOC2,DYNC1I1,NHLH2,CLSTN2,TMEM163,CACNA2D2,CIB2,NDNF,LINGO1,LNPK,RNF138,TMEM170B,ABCC5,CNRIP1,EBF3,FUT9,PABPN1,GNL3L,NUDT2,NSMCE3,DACH1,FAM69B,HOMER2,MAP9,DNM3,LZTFL1,FSD1,TCEAL1,RAB11FIP2,BARHL2,TRIM44,SLC17A6,B3GALT1,SLITRK5,ERC2,NBEA,SLC25A36,ZDBF2,MAPK8,GDF5,ACHE,CCM2,WRAP73,NRG1,ATP13A2,CNTNAP2,PNOC,LHX1,LINGO2,FAT3,SRGAP3,CDH4,FLRT3,EDIL3,ZCCHC12,FAM196A,SMAD1,TBR1,KCNH7,LHX5,CALB2,EMX2,ZIC2,WNT7B,AATF,NANOS1,TBCK,RGMB,DACT1,EOMES,CNR1,HAR1A
Cardiac stem and precursor cells	Cardiac stem and precursor cells	MYH6,TBX18,FUT4,KITLG,NKX2-5,GATA4,ETV2,KIT,ABCG2,MESP1,BMP4,ADGRL2,TBX3,TBX4,WNT5A,ANKRD1
Cardiomyocytes	Cardiomyocytes	TNNC1,ADM,ALCAM ,NPPA,FGF2,NPPB,TNNI3,TNNT2,NPPC,DES,HAND2,HAND1,GATA6,MYL2,ACTA1,RBM20,VLDLR,ALPK3,RBM24,CKMT2,SPEG,MYH7B,MYOM2,MYOM1,PDLIM5,MYH7,PLN,TCAP,SORBS2,RYR2,OBSCN,ACTC1,MYL3,CORO6,PDE4D,NEXN,FHL2,MYBPC3,TTN,GPIHBP1,DMD,MFN2,ASB2,ART3,RRAD,ADPRHL1,JPH2,PYGM,HSPB7,MYOZ2,ENO3,TRDN,ACTN2,TNNI1,SMPX,MYL7,TBX20,TRIM63,MB,CTGF,MYL4,CTNNB1,CPT1A,SOX18,NOTCH1,SLN,CSRP3,TXLNB,ATP2A2,CKM,CKB,IL11RA,MITF,ZFPM2,BDNF,GJA5,FMOD,MTTP,SLC5A1,TRPV1,SGPL1,HMGB2,STC1,FGF23,STRN,HEY2,ADIPOR1,ADIPOR2,PDE1A,CASQ2,TPM1
Cholangiocytes	Cholangiocytes	SSTR2,SLC4A2,SCTR,KRT7,KCNN2,ITGB4,GGT6,CFTR,CCKBR,GGT1,JAG1,GPBAR1,GGT7,KRT19,ONECUT2,ALPL,HNF1B,ALB,TFF3,TFF1,EPCAM,CLDN4,MMP7,DEFB1,CXCL1,CXCL6,TACSTD2,ELF3,SPP1,LGALS4
Cholinergic neurons	Cholinergic neurons	CHAT,SLC18A3,SLC5A7,TAC1,BRCA1,ACLY
Chondrocytes	Chondrocytes	PRG4,TNC,CRTAC1,CREB3L2,RUNX2,ACAN,COL2A1,COMP,MATN3,RUNX3,SOX6,BMP2,FGF18,GLI3,PBX3,PTHLH,STAT1,MMP13,VEGFA,MATN1,COL9A1,COL10A1,MIA,SDC3,EMP1,COL6A1,CYTL1,LUM,GADD45B,SCRG1,HAPLN1,COL11A1,S100A9,CHAD,COL9A3,CHODL,ATF4,SHOX,MGP,TCF4,VDR,ATRX,AGER,IL10RA
Choroid plexus cells	Choroid plexus cells	KL,SOSTDC1,CLIC6,SLC4A10,HTR2C,SLC4A5,SLC31A1,CLDN2,SLC13A4,SLC29A4,PRLR,CLDN1,SLC2A12,WFIKKN2,SLC23A2,SLC26A11,CHMP1A
Chromaffin cells	Chromaffin cells	SLC26A4,AGRP,SNAP25,SNAPIN,RAPGEF2,SERPINE1,CACNA1D,PIK3C2A,NCS1,PLD1,PLD2,DOC2B,UNC13A,SLC18A1,STX1A,SLC12A2,PLAT
Ciliated cells	Ciliated cells	CCDC153,FAM161A,TMEM212,USMG5,CCDC181,FOXJ1,CCDC17,CCDC39,ODF3B,CYP2S1,LRRC23,SCGB1A1,TUBB4B
Clara cells	Clara cells	SYT2,CYP2E1,FOXM1,CTSE,SCGB3A2,SFTPC,CYP4B1,BPIFA1,AHR,MMP28,LEPR,ERN1,SFTPA1,CARM1,RAB3D,SFTPD
Crypt cells	Crypt cells	KCNE3,KCNQ1,PROM1,LGR5,EPHB2,ASCL2,BMI1,LRIG1,TERT,MSI1,TNFRSF19,AXIN2
Decidual cells	Decidual cells	XCL1,IGFBP1,XCL2,CTSW,IL32,TRDC,KLRC1,CST7,AREG
