"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"IL7R"	8.5953236562358e-29	0.843503909867281	0.607	0.338	1.08043218358884e-24	"0"	"IL7R"
"SELL"	1.17327127500597e-26	0.669089679313053	0.661	0.404	1.47480199268251e-22	"0"	"SELL"
"RPSAP58"	2.34202122903654e-26	0.579709682558997	0.87	0.679	2.94392068489893e-22	"0"	"RPSAP58"
"RPL34"	5.64784911679823e-26	0.645475268742541	0.948	0.909	7.09934633981537e-22	"0"	"RPL34"
"MAL"	1.55636124185376e-23	1.77583435934979	0.276	0.096	1.95634608101018e-19	"0"	"MAL"
"ADTRP"	1.87085581436956e-23	2.94944865480867	0.125	0.017	2.35166575866254e-19	"0"	"ADTRP"
"LINC00176"	2.96923473222419e-23	2.34523826949424	0.166	0.035	3.73232805840581e-19	"0"	"LINC00176"
"TRAT1"	4.81537608420238e-23	1.35336482331549	0.324	0.129	6.05292773784239e-19	"0"	"TRAT1"
"LDLRAP1"	6.51342706180635e-23	1.37034992484602	0.263	0.089	8.18737781669058e-19	"0"	"LDLRAP1"
"TSHZ2"	8.2067697428508e-23	2.80899533611549	0.127	0.018	1.03159095667635e-18	"0"	"TSHZ2"
"LEPROTL1"	2.76991310913936e-22	1.12662232398863	0.419	0.208	3.48178077818818e-18	"0"	"LEPROTL1"
"AES"	2.98157047480837e-21	0.845349334037578	0.655	0.428	3.74783408683412e-17	"0"	"AES"
"NGFRAP1"	2.60286353521368e-20	1.39798606934084	0.201	0.061	3.2717994637636e-16	"0"	"NGFRAP1"
"C12orf57"	7.07555902993388e-18	1.09160791488112	0.443	0.258	8.89397770062689e-14	"0"	"C12orf57"
"TRABD2A"	5.50227302664937e-17	1.3207647766582	0.201	0.068	6.91635719449825e-13	"0"	"TRABD2A"
"GIMAP5"	4.95242193637827e-16	0.972825137785122	0.423	0.238	6.22519437402748e-12	"0"	"GIMAP5"
"TMEM123"	1.30857941833425e-15	0.695341060170383	0.559	0.373	1.64488432884615e-11	"0"	"TMEM123"
"MYC"	1.62876150785845e-15	1.18258157492861	0.261	0.114	2.04735321537807e-11	"0"	"MYC"
"NELL2"	1.6769229217583e-15	2.01983798270007	0.149	0.042	2.10789211265018e-11	"0"	"NELL2"
"GIMAP7"	1.92764120991628e-15	0.572867541523329	0.661	0.475	2.42304500086477e-11	"0"	"GIMAP7"
"FLT3LG"	2.00980870449907e-15	1.10774660625792	0.294	0.138	2.52632954155534e-11	"0"	"FLT3LG"
"CD3G"	2.54922148980312e-15	0.761970759693693	0.348	0.185	3.20437141268252e-11	"0"	"CD3G"
"RGS10"	3.83934793630638e-15	0.784831579370965	0.549	0.362	4.82606035593712e-11	"0"	"RGS10"
"RP11-664D1.1"	5.14845308822953e-15	1.95540611010507	0.136	0.036	6.47160553190452e-11	"0"	"RP11-664D1.1"
"SCGB3A1"	6.27291208799296e-15	2.12421360952336	0.128	0.032	7.88505049460714e-11	"0"	"SCGB3A1"
"SOCS3"	6.71185785611527e-15	1.24481904276216	0.287	0.142	8.4368053251369e-11	"0"	"SOCS3"
"RHOH"	7.13239495209482e-15	0.862386506531578	0.384	0.211	8.96542045478319e-11	"0"	"RHOH"
"RGCC"	8.61953500184205e-15	0.950244404989294	0.359	0.191	1.08347554973155e-10	"0"	"RGCC"
"LCK"	2.4950975773825e-14	0.764893835394095	0.497	0.317	3.1363376547698e-10	"0"	"LCK"
"EVL"	3.39073016914381e-14	0.573405731137175	0.654	0.469	4.26214782261377e-10	"0"	"EVL"
"EPHX2"	4.33229569358351e-14	1.89207599387796	0.128	0.034	5.44569568683448e-10	"0"	"EPHX2"
"NUCB2"	9.38337896547841e-14	1.33707069650712	0.214	0.089	1.17949073596064e-09	"0"	"NUCB2"
"OCIAD2"	1.0924209897526e-13	0.900849946482985	0.35	0.19	1.37317318411902e-09	"0"	"OCIAD2"
"C14orf64"	1.49876488231972e-13	1.82316812602523	0.128	0.036	1.88394745707589e-09	"0"	"C14orf64"
"ACTN1"	1.78849965359489e-13	1.53149367214754	0.155	0.051	2.24814406456877e-09	"0"	"ACTN1"
"SH3YL1"	3.03163900036306e-13	1.41333403367428	0.192	0.075	3.81077022345637e-09	"0"	"SH3YL1"
"HINT1"	4.53703633824236e-13	0.501411790771489	0.739	0.584	5.70305467717065e-09	"0"	"HINT1"
"ST13"	8.65163840678315e-13	0.741819586143966	0.512	0.349	1.08751094773264e-08	"0"	"ST13"
"GYPC"	9.67473347490231e-13	0.807252319060544	0.41	0.251	1.21611399779522e-08	"0"	"GYPC"
"OXNAD1"	1.18496332922544e-12	1.34572455753824	0.214	0.092	1.48949890483638e-08	"0"	"OXNAD1"
"NDFIP1"	1.19100948043078e-12	0.83701311271439	0.438	0.282	1.49709891690149e-08	"0"	"NDFIP1"
"TMIGD2"	1.32471561854446e-12	1.74299777734125	0.128	0.038	1.66516753251039e-08	"0"	"TMIGD2"
"APBA2"	8.29278910149944e-12	1.859811442324	0.114	0.036	1.04240359005848e-07	"0"	"APBA2"
"TRAF3IP3"	1.10547984335279e-11	0.623631891688549	0.577	0.428	1.38958816309446e-07	"0"	"TRAF3IP3"
"BEX2"	1.21152026756035e-11	1.06959731195251	0.196	0.083	1.52288097632336e-07	"0"	"BEX2"
"BTG2"	3.65075346514955e-11	0.721655300841158	0.466	0.317	4.58899710569298e-07	"0"	"BTG2"
"ITM2A"	7.29873764514419e-11	0.744834435820865	0.214	0.102	9.17451321994625e-07	"0"	"ITM2A"
"PRKCA"	8.27809905019252e-11	1.89055496575511	0.099	0.03	1.0405570506092e-06	"0"	"PRKCA"
"AAK1"	1.19690750613438e-10	1.06029377696152	0.236	0.121	1.50451273521092e-06	"0"	"AAK1"
"DNAJB1"	1.68488179670099e-10	0.757390758768819	0.38	0.256	2.11789641845315e-06	"0"	"DNAJB1"
"CD6"	1.821296307697e-10	1.17145579238241	0.194	0.087	2.28936945877513e-06	"0"	"CD6"
"SUSD3"	2.18474131217785e-10	0.85919079484577	0.229	0.114	2.74621982940755e-06	"0"	"SUSD3"
"LINC00861"	3.31090084514184e-10	1.32439366304221	0.158	0.07	4.1618023623433e-06	"0"	"LINC00861"
"SOD1"	5.868803907767e-10	0.566500121975449	0.598	0.462	7.37708651206312e-06	"0"	"SOD1"
"PLEKHB1"	6.83062859069337e-10	1.89055496575511	0.088	0.023	8.58610013850157e-06	"0"	"PLEKHB1"
"LAT"	6.98708896810059e-10	0.714174942175494	0.322	0.19	8.78277083290244e-06	"0"	"LAT"
"CD40LG"	1.43184137363888e-09	1.03112316413787	0.182	0.083	1.79982460666408e-05	"0"	"CD40LG"
"TCEA3"	1.63610778496844e-09	1.90981686791574	0.089	0.027	2.05658748570533e-05	"0"	"TCEA3"
"SELM"	1.90717321988217e-09	1.08771598076875	0.182	0.083	2.39731673739189e-05	"0"	"SELM"
"FYB"	1.9687555149749e-09	0.57320215978682	0.469	0.324	2.47472568232345e-05	"0"	"FYB"
"BCL11B"	3.26160135654537e-09	1.28449662957844	0.151	0.063	4.09983290517752e-05	"0"	"BCL11B"
"SATB1"	4.57235057793656e-09	1.11645617286869	0.155	0.066	5.74744467646626e-05	"0"	"SATB1"
"PSIP1"	4.96142571096559e-09	0.887590725877502	0.272	0.158	6.23651211868375e-05	"0"	"PSIP1"
"TBC1D4"	6.13677511806186e-09	1.81338710523264	0.086	0.024	7.71392632340376e-05	"0"	"TBC1D4"
"BCL2"	8.82038196294374e-09	1.18436942443355	0.142	0.059	0.000110872201274203	"0"	"BCL2"
"NOG"	2.03891349907099e-08	2.5909946838962	0.037	0.004	0.000256291426833223	"0"	"NOG"
